"Lượt bắt đầu báo cáo","Lượt kết thúc báo cáo","Tên nhóm quảng cáo","Phân phối nhóm quảng cáo","Kết quả","Chỉ báo kết quả","Chi phí trên mỗi kết quả","Ngân sách nhóm quảng cáo","Loại ngân sách nhóm quảng cáo","Số tiền đã chi tiêu (VND)","Lượt hiển thị","Người tiếp cận","Tổng số người liên hệ nhắn tin","Người liên hệ nhắn tin mới","Lượt mua","Kết thúc","Bắt đầu","Cài đặt ghi nhận","Giá thầu","Loại giá thầu","Lượt chỉnh sửa quan trọng gần đây nhất","Chi phí trên mỗi lượt mua (VND)","Lượt bắt đầu cuộc trò chuyện qua tin nhắn","Chi phí trên mỗi lượt bắt đầu cuộc trò chuyện qua tin nhắn (VND)"
2026-04-18,2026-04-18,"Nhóm quảng cáo Lượt tương tác mới",inactive,,,,82000,"Hàng ngày",0,0,0,,,,"Đang diễn ra",2026-04-10,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",0,ABSOLUTE_OCPM,2026-04-10T17:07:22+0700,,,
2026-04-18,2026-04-18,"Nhóm quảng cáo Lưu lượng truy cập mới",inactive,,,,101000,"Hàng ngày",0,0,0,,,,"Đang diễn ra",2026-04-10,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",0,ABSOLUTE_OCPM,2026-04-10T18:48:12+0700,,,
2026-04-18,2026-04-18,MuseStudio-damthietkeevii-0411,inactive,,,,400000,"Hàng ngày",0,0,0,,,,"Đang diễn ra",2026-04-11,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",0,ABSOLUTE_OCPM,2026-04-11T19:09:13+0700,,,
2026-04-18,2026-04-18,MuseStudio-damthietkecoduc-0411,inactive,,,,100000,"Hàng ngày",0,0,0,,,,"Đang diễn ra",2026-04-11,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",0,ABSOLUTE_OCPM,2026-04-11T19:19:23+0700,,,
2026-04-18,2026-04-18,MuseStudio-chanvayrendai-0411,not_delivering,460,actions:link_click,497.0673913,251000,"Hàng ngày",228651,6563,6048,,,,"Đang diễn ra",2026-04-11,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",0,ABSOLUTE_OCPM,2026-04-11T19:22:11+0700,,,
2026-04-18,2026-04-18,MuseStudio-chanvayrenngan-0411,inactive,,,,400000,"Hàng ngày",0,0,0,,,,"Đang diễn ra",2026-04-11,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",0,ABSOLUTE_OCPM,2026-04-11T19:24:27+0700,,,
2026-04-18,2026-04-18,MuseStudio-quanchunbong-0411,inactive,,,,400000,"Hàng ngày",0,0,0,,,,"Đang diễn ra",2026-04-11,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",0,ABSOLUTE_OCPM,2026-04-11T19:26:34+0700,,,
2026-04-18,2026-04-18,MuseStudio-aosomianhnhu-0416,inactive,,,,121000,"Hàng ngày",0,0,0,,,,"Đang diễn ra",2026-04-15,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",0,ABSOLUTE_OCPM,2026-04-15T21:54:18+0700,,,
2026-04-18,2026-04-18,MuseStudio-aosomivoanto-0416,inactive,56,actions:link_click,754.25,141000,"Hàng ngày",42238,1170,1152,,,,"Đang diễn ra",2026-04-15,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",0,ABSOLUTE_OCPM,2026-04-15T21:54:18+0700,,,
2026-04-18,2026-04-18,MuseStudio-setbothuntamcotru-0416,inactive,,,,121000,"Hàng ngày",0,0,0,,,,"Đang diễn ra",2026-04-15,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",0,ABSOLUTE_OCPM,2026-04-15T21:54:17+0700,,,
2026-04-18,2026-04-18,MuseStudio-dobolinento-0416,inactive,,,,121000,"Hàng ngày",0,0,0,,,,"Đang diễn ra",2026-04-15,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",0,ABSOLUTE_OCPM,2026-04-15T21:54:17+0700,,,
2026-04-18,2026-04-18,MuseStudio-combomutuidibien-0416,inactive,,,,121000,"Hàng ngày",0,0,0,,,,"Đang diễn ra",2026-04-16,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",0,ABSOLUTE_OCPM,2026-04-16T11:23:59+0700,,,
2026-04-18,2026-04-18,MuseStudio-tuicoimucoidibien-0416,inactive,,,,121000,"Hàng ngày",0,0,0,,,,"Đang diễn ra",2026-04-16,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",0,ABSOLUTE_OCPM,2026-04-16T11:24:01+0700,,,
2026-04-18,2026-04-18,MuseStudio-ChanVayChuA-0416,inactive,,,,121000,"Hàng ngày",0,0,0,,,,"Đang diễn ra",2026-04-16,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",0,ABSOLUTE_OCPM,2026-04-16T11:24:01+0700,,,
2026-04-18,2026-04-18,MuseStudio-ChanVayXoeBong-0416,inactive,,,,121000,"Hàng ngày",0,0,0,,,,"Đang diễn ra",2026-04-16,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",0,ABSOLUTE_OCPM,2026-04-16T11:24:00+0700,,,
2026-04-18,2026-04-18,MuseStudio-DepMERCY-0416,inactive,,,,121000,"Hàng ngày",0,0,0,,,,"Đang diễn ra",2026-04-16,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",0,ABSOLUTE_OCPM,2026-04-16T11:24:00+0700,,,
2026-04-18,2026-04-18,MuseStudio-quanjeannuongsuong-0416,inactive,,,,121000,"Hàng ngày",0,0,0,,,,"Đang diễn ra",2026-04-16,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",0,ABSOLUTE_OCPM,2026-04-16T11:24:00+0700,,,
2026-04-18,2026-04-18,MuseStudio-giaycaogotmuivuong-0416,inactive,,,,121000,"Hàng ngày",0,0,0,,,,"Đang diễn ra",2026-04-16,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",0,ABSOLUTE_OCPM,2026-04-16T11:23:59+0700,,,
2026-04-18,2026-04-18,MuseStudio-quanjeannuongsuong2-0416,inactive,,,,121000,"Hàng ngày",0,0,0,,,,"Đang diễn ra",2026-04-16,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",0,ABSOLUTE_OCPM,2026-04-16T11:24:00+0700,,,
2026-04-18,2026-04-18,MuseStudio-quanjeanloangbui-0416,inactive,,,,121000,"Hàng ngày",0,0,0,,,,"Đang diễn ra",2026-04-16,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",0,ABSOLUTE_OCPM,2026-04-16T11:24:00+0700,,,
2026-04-18,2026-04-18,MuseStudio-aosomiketayphong-0416,inactive,,,,121000,"Hàng ngày",0,0,0,,,,"Đang diễn ra",2026-04-16,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",0,ABSOLUTE_OCPM,2026-04-16T11:24:00+0700,,,
2026-04-18,2026-04-18,MuseStudio-aotodinhdaxanhdam2-0416,inactive,121,actions:link_click,600.65289256,190000,"Hàng ngày",72679,2226,2149,,,,"Đang diễn ra",2026-04-16,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",0,ABSOLUTE_OCPM,2026-04-16T11:24:01+0700,,,
2026-04-18,2026-04-18,MuseStudio-dambodylechvai-0416,inactive,,,,121000,"Hàng ngày",0,0,0,,,,"Đang diễn ra",2026-04-16,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",0,ABSOLUTE_OCPM,2026-04-16T11:24:00+0700,,,
2026-04-18,2026-04-18,MuseStudio-dambodynuluatochau-0416,not_delivering,261,actions:link_click,659.77394636,175000,"Hàng ngày",172201,4098,3811,,,,"Đang diễn ra",2026-04-16,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",0,ABSOLUTE_OCPM,2026-04-16T11:24:00+0700,,,
